sonnet,semantic_only_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,words_analyzed
48,58.703895239465275,54.10179110948652,-4.6021041299787555,-7.839520889041221,115
49,61.116750165733784,55.75651186805226,-5.360238297681526,-8.770489731777069,112
50,54.9573931525849,51.132032485205144,-3.825360667379755,-6.960593375961157,114
51,82.16371772209324,71.93144500833,-10.232272713763237,-12.453517194015493,114
52,62.77849442469538,56.49220502181982,-6.2862894028755605,-10.01344403124568,106
53,55.61107507313557,50.929033957959824,-4.682041115175743,-8.419260208543475,106
54,54.78986262471641,50.6570259193422,-4.13283670537421,-7.543068201652753,110
55,53.67207595770266,49.51873906607893,-4.153336891623731,-7.738357083293835,101
56,59.900247010175654,54.835659501128845,-5.0645875090468095,-8.455036100579775,106
57,60.743776206863565,55.89349804853545,-4.850278158328116,-7.984815006907775,116
58,77.89912207225325,67.48390674240015,-10.415215329853098,-13.370131848460042,109
59,52.41508797296824,48.55451827933858,-3.8605696936296567,-7.365378639869208,106
60,56.54757765906862,51.72939642924027,-4.818181229828355,-8.52057935863793,104
61,62.930784915982834,57.83355822306481,-5.097226692918021,-8.099734811385538,120
62,43.58771811953216,41.06029197393848,-2.5274261455936795,-5.798482358408,102
63,41.4074652713173,39.09614299852366,-2.311322272793639,-5.581897509661568,99
64,58.51937728814002,53.341497788780714,-5.177879499359307,-8.848145245743574,107
65,53.60544829150964,49.63565708544976,-3.969791206059881,-7.405574120883979,108
66,35.24358470166638,33.191538929598714,-2.0520457720676646,-5.822466101101913,82
67,52.33882278318177,48.371751436533984,-3.967071346647785,-7.579596054503806,105
68,52.248466020829156,48.4312092176161,-3.8172568032130556,-7.305969139249531,106
69,59.14682287183192,54.907861237173925,-4.238961634657997,-7.166845874111624,121
70,49.124679693438715,45.80300547902701,-3.3216742144117077,-6.761721878169038,100
71,66.26901544482108,60.611750205898296,-5.657265238922783,-8.536818000009834,123
72,54.091333583063275,50.64659057788928,-3.444743005173997,-6.368382469040461,119
73,69.58827768760517,62.00798806346245,-7.580289624142722,-10.893055376613951,112
74,71.31265548907635,63.28415745644982,-8.02849803262653,-11.25816726016651,111
75,67.47610127752382,60.97561337824063,-6.500487899283193,-9.63376332688103,114
76,58.72450320592533,54.00153790957128,-4.722965296354047,-8.04258024932512,113
77,43.98150302076291,41.49030247417734,-2.491200546585567,-5.6642005740674986,103
78,58.336422530350646,53.47296703645438,-4.863455493896268,-8.33691077193834,108
79,55.96315781788019,51.98563875029517,-3.977519067585014,-7.107388543957753,116
80,50.908740042560176,47.726562596692396,-3.1821774458677794,-6.250748777532992,114
81,77.0291616355929,67.51489991998363,-9.514261715609265,-12.351506252422986,115
82,67.20002307727609,59.050510250112865,-8.149512827163221,-12.127247066257342,98
83,60.52388652646125,55.651058683861905,-4.872827842599342,-8.051082179709205,115
84,60.8683119722408,55.82068416645591,-5.0476278057848845,-8.292702133890081,115
85,55.786797076913366,50.83991961017581,-4.946877466737554,-8.867469949775543,101
86,56.58806482947431,52.08040957360055,-4.507655255873765,-7.965734946860949,108
87,51.28300950449581,48.07715021087432,-3.2058592936214865,-6.251308814745826,114
88,59.1869193129065,53.950960929185925,-5.235958383720572,-8.846478993169697,108
89,61.01312012878056,55.672449536824985,-5.340670591955572,-8.753314993042487,109
90,101.56796486724089,83.28303407212192,-18.284930795118967,-18.002655481990935,115
91,66.99671658819517,60.04710194861243,-6.949614639582741,-10.373067507620611,110
92,115.49744843697398,90.2039518512637,-25.293496585710287,-21.899615037394305,118
93,71.15657375158253,62.61815996436828,-8.538413787214246,-11.999472904672214,107
94,46.4720049660887,43.579599151691596,-2.892405814397101,-6.223974662827076,103
95,45.15271468921452,42.942239460425554,-2.2104752287889653,-4.895553332736767,110
96,63.29548114527358,57.59969114161389,-5.695790003659688,-8.998730873989109,115
97,47.89114005348058,44.735366442161684,-3.1557736113188923,-6.58947272458915,99
98,51.59327708337224,48.12140798675995,-3.471869096612295,-6.729305236808125,111
99,73.21902576979298,65.87892500117748,-7.3401007686155,-10.024854457492264,118
100,46.3916230632085,43.820015225231,-2.5716078379774956,-5.543259037248351,106
101,69.18433666202218,61.11069925089127,-8.073637411130903,-11.669747518968148,107
102,56.5734408982186,52.34711232509611,-4.226328573122487,-7.470517094277655,113
103,61.28725425589794,56.222225677075144,-5.0650285788227976,-8.264407730968577,116
104,59.37130715032062,54.50122513805768,-4.870082012262941,-8.202753562310008,109
105,57.15455899449891,51.301974506442285,-5.852584488056628,-10.239925897459791,96
106,55.390308254838864,51.12693283684732,-4.263375417991547,-7.696970015723105,108
107,52.21547675992377,48.69262038713125,-3.5228563727925177,-6.746766651178731,107
108,56.07282612760718,51.63507058078862,-4.437755546818558,-7.914271231343645,109
109,64.52372969427789,58.166016785454154,-6.357712908823736,-9.853294189513587,111
110,56.790751721991086,52.470198929665806,-4.32055279232528,-7.607845751850177,114
111,66.08594640124792,58.74255020525097,-7.343396195996952,-11.111887770223843,106
112,52.515602867888724,48.83061296207525,-3.684989905813474,-7.0169429742311955,108
113,60.20260736964781,55.40236745597204,-4.800239913675767,-7.9734751091460065,115
114,60.41285863825378,54.775653967503665,-5.6372046707501156,-9.331133798029885,107
115,52.30320141885413,48.53531101954708,-3.767890399307049,-7.203938376798498,108
116,55.738011540872876,51.206391179886936,-4.53162036098594,-8.130215333682807,102
117,51.60890315797456,48.119975061871,-3.4889280961035567,-6.76032212004965,108
118,68.61352888953563,61.020112650314104,-7.593416239221526,-11.066937325795541,108
119,51.96393350842477,48.443594014496234,-3.520339493928539,-6.774582400229182,110
120,78.5751714203294,68.34397596891841,-10.231195451410983,-13.020901216594623,111
121,45.879908055248364,43.30370901727175,-2.5761990379766146,-5.615091980730145,110
122,63.966798577667795,57.15398853515534,-6.812810042512453,-10.650540896212608,102
123,65.82728832267182,59.70609459182008,-6.121193730851736,-9.298869643311,116
124,55.31597131862812,50.673764997975674,-4.642206320652448,-8.392162715380442,102
125,53.04678803819939,49.094840775998925,-3.9519472622004628,-7.449927523141714,102
126,55.880410289199574,49.98791544389564,-5.892494845303936,-10.544831032571754,91
127,81.43534616299029,68.61700083439119,-12.818345328599094,-15.740518009149957,103
128,45.86919548734037,43.185679812649106,-2.6835156746912645,-5.850365689173465,106
129,53.334427595775026,49.261739001181816,-4.07268859459321,-7.636134441078794,106
130,59.155354559932384,54.985858042698574,-4.16949651723381,-7.048383951463845,121
131,54.28101293301456,50.647141586230255,-3.6338713467843036,-6.694553307744422,116
132,48.70772678389506,45.92698960160111,-2.7807371822939544,-5.7090268134077435,114
133,59.425909786750914,54.60834212380598,-4.817567662944931,-8.106847131550376,114
134,62.916934298483085,57.336770293083596,-5.580164005399489,-8.86909711609077,115
135,58.00530893692175,53.22901110692184,-4.776297829999912,-8.234242550442975,107
136,90.28199448620308,77.71522630559505,-12.566768180608022,-13.919462293811508,117
137,72.92652350243466,65.48700319459209,-7.439520307842571,-10.201391689258575,118
138,80.48573350165788,70.12267593676836,-10.363057564889516,-12.875645302625035,112
139,53.846600301675736,50.355923481020426,-3.4906768206553096,-6.482631774520178,117
140,52.32756400986399,48.97211206134712,-3.3554519485168726,-6.412398536045656,115
141,56.55573999944691,52.41271458532402,-4.143025414122889,-7.325561320855152,114
142,52.43794400992023,49.170253614483975,-3.2676903954362544,-6.231537977190851,110
143,63.968589098362095,58.095739013303266,-5.872850085058829,-9.180834168514124,114
144,55.41585945951181,51.057990535938174,-4.357868923573633,-7.863938168743191,108
145,48.73113497744488,44.90495198238398,-3.826182995060904,-7.851618881505316,84
146,62.494131769221504,56.867246635302756,-5.626885133918748,-9.003861602074455,109
147,53.19467415289232,48.989784180206755,-4.204889972685564,-7.904719860863993,104
148,59.99221442574098,55.68217677248332,-4.310037653257666,-7.18432832412392,118
149,60.02342419190499,55.5073831337207,-4.516041058184285,-7.523797782255377,116
150,71.50700383511447,64.30300875207114,-7.203995083043338,-10.074530740589804,115
151,57.44459708925155,53.40444660576403,-4.040150483487523,-7.033125286282971,117
152,65.99669354055489,60.17274650402634,-5.823947036528544,-8.8246042704393,120
153,44.729847276235276,42.14941608596795,-2.5804311902673263,-5.768924660823278,100
154,74.86429122894874,66.24947732343996,-8.614813905508782,-11.50724031990512,104
