sonnet,semantic_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,mean_line_tortuosity,couplet_tortuosity,avg_metrical_deviation,num_rhyme_pairs,num_lines
33,3.0707877093031803,3.029628552371691,-0.04115915693148953,-1.3403452412810821,8.425004,7.7684216,3.7142857142857144,5,14
34,3.055680858224743,2.986126321777289,-0.06955453644745413,-2.2762369394774815,7.9242334,6.6971536,2.2857142857142856,5,14
35,2.8837917005479485,2.84767482461448,-0.036116875933468684,-1.2524093167549557,8.115084,9.331053,3.5,2,14
36,2.9870694750269475,2.943652283552076,-0.04341719147487133,-1.4535045748970954,7.545614,6.94448,3.2142857142857144,5,14
37,2.87497031551972,2.846041912724889,-0.028928402794830888,-1.006215703816802,8.089599,8.958175,2.5,3,14
38,2.4281811624772947,2.3955783106656985,-0.03260285181159617,-1.3426861354254918,8.537721,8.2949,3.2857142857142856,5,14
39,3.0708462951347597,3.0175639414744446,-0.053282353660315085,-1.7351032431916904,8.120578,6.9886117,3.7142857142857144,5,14
40,3.1150616721391233,3.0453331191013238,-0.06972855303779957,-2.2384325055727303,7.2595744,8.525866,3.357142857142857,5,14
41,2.730980492112035,2.6886424021823316,-0.042338089929703226,-1.5502889915174964,7.519602,5.66432,2.2142857142857144,4,14
42,3.277005321993747,3.219300870491911,-0.05770445150183612,-1.7608897707474098,8.416271,7.8622856,4.071428571428571,6,14
43,2.9059299133459713,2.8740808295480424,-0.031849083797928834,-1.096003164138838,7.462194,5.277376,1.7142857142857142,3,14
44,3.4461792900469113,3.3651621038159027,-0.08101718623100851,-2.350927778627143,8.49817,7.743756,2.642857142857143,3,14
45,2.857443216246778,2.807377018896253,-0.05006619735052542,-1.7521327131143083,8.760801,9.056549,2.7857142857142856,4,14
46,3.4835056223350205,3.392673067660926,-0.09083255467409446,-2.607504178885427,8.51961,6.1094055,1.7142857142857142,3,14
47,3.3675779358445257,3.3145245030834047,-0.053053432761120956,-1.5754181127159614,7.6319385,7.6424756,2.642857142857143,5,14
48,2.634624871442263,2.5953826467898984,-0.03924222465236449,-1.489480535833637,8.781182,8.026196,1.5,5,14
49,2.759582610396197,2.7265333615149254,-0.0330492488812717,-1.1976176671343342,8.723536,7.420606,2.0,1,14
50,2.612680175214374,2.5688155514760287,-0.0438646237383451,-1.6789128709466306,8.382239,8.008782,1.7857142857142858,2,14
51,3.2715954815951664,3.1801963240985067,-0.09139915749665972,-2.7937181723975013,7.7613416,6.476219,3.857142857142857,5,14
52,3.817226966416144,3.6748767974607714,-0.14235016895537234,-3.7291512977290884,8.543624,8.114138,2.7142857142857144,5,14
53,2.828896592732448,2.7948817650035753,-0.03401482772887254,-1.2024061896167586,7.9641595,8.201223,2.7857142857142856,4,14
54,3.644995904318526,3.548431874595765,-0.09656402972276101,-2.6492218992167778,8.231586,8.240411,3.9285714285714284,5,14
55,3.1438831698915046,3.0806343007288643,-0.06324886916264028,-2.011807237888646,8.5771885,9.332591,3.4285714285714284,4,14
