sonnet,overall_tortuosity,mean_line_tortuosity,max_line_tortuosity,couplet_tortuosity,num_lines
100,4.214289676705956,6.8547964,7.3302755,7.258323,14
101,3.328234999423019,6.627726,8.229602,8.229602,14
102,3.756336772941865,6.6512346,7.9678144,6.4579716,14
103,2.6191703782026114,6.799335,8.053069,8.053069,14
104,3.887660666523855,6.747811,7.578773,6.5884423,14
105,3.2758296146170167,6.9037533,8.293567,6.7693143,14
106,3.0807027620741256,7.200991,8.421397,7.065649,14
107,3.465449101090691,6.801315,8.172572,7.1807866,14
108,3.8358846587953153,6.673714,7.3199344,5.9863987,14
109,3.591841916913911,6.7645345,7.6019163,6.624492,14
110,3.1303553197483085,7.2024045,8.821513,6.999524,14
111,3.7916759102597277,7.1233754,7.901132,6.306879,14
112,3.623281012267149,6.979942,7.8983307,7.7401047,14
113,3.7437725215678577,6.5483856,7.501391,7.4321566,14
114,3.9452586697558005,6.970977,7.7673917,7.2568297,14
115,3.1150314474367424,7.0279636,7.63311,7.63311,14
116,3.21244548882185,6.600384,7.3927803,5.5542917,14
117,3.293130241208489,6.898972,7.7002726,7.3388047,14
118,3.7214985079138425,6.729614,7.5971456,7.5971456,14
119,3.7138063956953467,7.2630363,8.410548,6.7802873,14
120,3.420715506999212,6.758172,7.512209,6.736676,14
121,3.449859984563365,6.533549,7.324728,6.7041984,14
122,3.966390814282294,6.6669383,7.294404,6.4459867,14
123,3.9561587392009185,7.3441954,8.654798,6.1890187,14
124,3.2807392030145173,6.9560423,8.108703,6.742191,14
125,4.245900960454185,6.541562,7.5865054,6.454611,14
126,2.6598929341823214,6.6291385,7.5311007,6.0766096,12
127,3.930504059758291,6.750746,7.9088893,7.653239,14
128,3.6576808505417078,7.3089557,8.207432,7.457251,14
129,3.136789476588787,6.5158505,8.209699,7.768847,14
130,3.3717861140535534,6.731447,7.71293,6.120466,14
131,3.556044610570076,7.2789326,8.441819,7.2017894,14
132,4.286816871680089,6.6279774,7.72955,6.823712,14
133,3.5890211601996667,6.2930546,7.166884,5.9989815,14
134,4.001433756066194,6.307375,7.3309865,6.5418825,14
135,4.082009740869403,6.823427,7.6818857,6.203822,14
136,4.094303131095512,6.3149023,8.001949,6.229453,14
137,3.6338202354833684,6.764578,8.077398,5.533869,14
138,3.442919103121406,6.5586066,7.6795955,7.6164603,14
139,3.705450590228885,6.508281,7.497028,6.7463403,14
140,3.4290594220346855,6.9757867,8.321371,6.946281,14
141,3.9241245625849803,6.902297,7.7488894,6.7762036,14
142,3.6732527889528335,6.733577,7.6953983,6.6112533,14
143,3.100221069200609,6.7856445,7.92084,7.2715435,14
144,3.908688192471088,6.703534,7.5903125,7.3628955,14
145,3.4623628288686583,6.9267383,8.123682,5.6016893,14
146,3.56269412214053,6.497517,7.5084696,6.682545,14
147,3.314924148701391,6.737346,7.855764,7.005487,14
148,3.6439725518716584,6.6932,7.5139017,6.4766383,14
149,4.378159191858326,6.3561826,7.2479033,6.3183975,14
150,3.306732397568086,6.742959,7.698675,5.4251847,14
151,3.9486610468357455,6.6644444,7.7585697,6.646022,14
152,3.295679790484749,6.2608213,6.9942665,6.970483,14
153,3.9155344613701977,6.7801414,7.704887,6.373105,14
154,2.5848194096551502,7.1963625,10.280522,10.280522,15
