sonnet,overall_tortuosity,mean_line_tortuosity,max_line_tortuosity,couplet_tortuosity,words_found,words_missing
29,62.541180127334925,3.1586058625640687,5.038953198468329,9.223627762907395,107,8
30,67.79590333680882,3.4135232687255828,5.229169059619791,9.525283131583334,108,8
31,70.04553509156227,3.3670595755711803,5.976360297392963,9.09976656709164,111,4
32,73.84313726383424,3.101076435518767,4.511833317833619,11.846308760486878,106,8
33,46.60424190513108,2.935103460401574,5.74661653834721,7.91835530299309,108,2
34,49.65008991582498,3.3160896955579284,5.179122391820727,7.276168936644448,115,5
35,63.384559236141335,3.0774632854998534,5.620219629937547,9.79543881699253,104,2
36,53.21504137418398,3.5467229198344277,5.392980878436268,9.92569198866088,111,2
37,72.41293669699236,3.595632647160728,5.159097441265912,10.264678731104599,113,3
38,53.59780755642935,3.1009660459037205,4.869167038456517,8.806798087372925,110,2
39,55.66209319761038,3.8042830335600355,5.675941303554642,8.248931343731506,116,3
40,51.99917902350162,3.354131650442471,5.225951671551035,6.48701371076856,117,3
41,59.78578838274817,3.0671107736660623,4.105715167970405,8.651669056065336,106,4
42,91.16868309120775,3.998225657520833,5.630026177801527,11.079725974603962,127,3
43,76.56756530377456,4.096637135096403,5.617426912071824,11.73594458704802,121,1
44,55.4187639064313,3.6798861412676644,6.490635827544803,4.1691595089096944,114,3
45,52.22848021257443,2.867165287583986,4.379141592403218,8.874014634805336,99,6
46,58.87818703482408,3.2188314668358133,4.1518035160841364,7.983729475585053,110,5
47,47.354951977265124,3.6174099684237215,5.3946103488237585,6.90660174612864,117,5
48,58.703895239465275,3.363338271519805,4.674309446759458,8.58777537830338,115,2
49,61.116750165733784,3.2557583732826143,4.464717119938357,11.61838663317917,112,2
50,54.9573931525849,3.440867787949617,5.0693145513450215,8.974704049266096,114,4
51,82.16371772209324,3.3090122891306453,5.339788654864945,7.7419950143463625,114,5
52,62.77849442469538,2.9205099315230854,4.0575878436288795,6.805689813613638,106,3
53,55.61107507313557,3.1563915491371186,4.286015509795613,7.839383435139345,106,1
54,54.78986262471641,3.2671892170353374,4.410621092770043,9.342271394137473,110,2
55,53.67207595770266,2.681274974559428,4.012167821624579,7.322492406863054,101,5
56,59.900247010175654,3.183972454501383,5.221641193919224,7.833386690971458,106,6
57,60.743776206863565,3.5234944796961516,6.166581873035275,9.467440300731816,116,1
58,77.89912207225325,3.1275845713968655,5.057242195269419,10.490228099503137,109,3
59,52.41508797296824,3.429824071017947,6.793109925540869,7.4046214768991865,106,3
60,56.54757765906862,2.729790798112567,4.72141993067538,8.847261476589047,104,4
61,62.930784915982834,3.50868674600616,4.796138534177262,8.696613461244905,120,1
62,43.58771811953216,2.9334443577779403,5.727152223771585,6.455907967361744,102,5
63,41.4074652713173,2.697251436150744,4.29009875869309,8.321407649893588,99,11
64,58.51937728814002,3.1402719658464053,4.86184099761292,9.662437981914822,107,4
65,53.60544829150964,2.91698895608697,4.311025274740607,7.0553103178125145,108,4
66,35.24358470166638,2.0752401689614355,4.3974855552702,10.123013381308368,82,7
67,52.33882278318177,2.968371875054065,4.738452004651503,8.436007850655294,105,1
68,52.248466020829156,3.156418792290068,6.943804633113435,8.188874774008303,106,2
69,59.14682287183192,3.663859702027844,5.353154942116558,7.9450017068962175,121,2
70,49.124679693438715,2.902087471720415,4.0072583969564715,6.194572830974706,100,10
71,66.26901544482108,3.776083464938901,6.963537260770872,8.353781038310927,123,0
72,54.091333583063275,3.8494955908972144,6.167049997281631,9.196856209683657,119,0
73,69.58827768760517,3.3724377451492873,4.995401572003792,9.811410812034026,112,9
74,71.31265548907635,3.428137712654704,5.7348809012490936,10.375973839411365,111,2
75,67.47610127752382,3.5962481617496804,5.10218392974229,8.364202972550258,114,3
76,58.72450320592533,3.456241089027736,4.26765334875624,9.621202063854868,113,1
77,43.98150302076291,2.840464182800393,4.0706928519309065,7.147192569315699,103,4
78,58.336422530350646,3.2848548832361395,4.926883816105642,8.014172028812155,108,2
79,55.96315781788019,3.6941027093304335,6.123757786900457,8.76621143855568,116,1
80,50.908740042560176,3.5161457506853213,6.1920394700851915,8.30311894400343,114,2
81,77.0291616355929,3.4253232393645647,5.228747791587379,11.324868814218922,115,2
82,67.20002307727609,2.8264384488249994,4.613065264052477,11.131191424382521,98,7
83,60.52388652646125,3.276597213484397,4.019076241047275,8.142543053230066,115,1
84,60.8683119722408,3.492397733083488,5.1957507771323,8.146406817190618,115,0
85,55.786797076913366,3.150130994262503,6.22045351664477,9.060706239529894,101,9
86,56.58806482947431,2.94593113620381,4.386209861184753,7.224239214166292,108,2
87,51.28300950449581,3.2141208004256967,4.789542228373448,10.935264367961825,114,3
88,59.1869193129065,3.1693701692543286,4.626403579103208,8.835476875762659,108,4
89,61.01312012878056,3.034974174194343,3.9925641548561197,8.09458200821685,109,3
90,101.56796486724089,3.6611464621618923,6.673415828331075,14.363446590708389,115,6
91,66.99671658819517,3.3980806087585447,4.799161447649966,6.774512167611206,110,4
92,115.49744843697398,3.472553192675388,5.12630468085326,13.945142849947393,118,2
93,71.15657375158253,3.1431848042995623,4.367077521558802,7.744779658966277,107,7
94,46.4720049660887,2.9398318247054434,5.993051772735218,6.444247580116622,103,3
95,45.15271468921452,3.0986684397588946,5.871633153156066,5.250835845993936,110,2
96,63.29548114527358,3.532268870229692,5.392980878436268,9.92569198866088,115,5
97,47.89114005348058,2.7428981744135235,3.942572321531367,7.164727011979612,99,8
98,51.59327708337224,3.0968550040628875,3.972270859220785,8.05179565340784,111,7
99,73.21902576979298,3.298395922947018,5.019895226577039,8.737171235801044,118,7
