sonnet,semantic_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,avg_metrical_deviation,num_rhyme_pairs,num_lines
42,3.453334342546995,3.384955938878708,-0.06837840366828729,-1.9800690256320512,4.071428571428571,6,14
43,3.9310756626497865,3.846407216422747,-0.0846684462270395,-2.1538238765409004,1.7142857142857142,3,14
44,3.5793565063096056,3.4900698703888637,-0.08928663592074182,-2.4944884859429184,2.642857142857143,3,14
45,3.1214995351013837,3.0561996316214834,-0.06529990347990022,-2.091940195588699,2.7857142857142856,4,14
46,3.470242300359952,3.380287275165172,-0.08995502519477983,-2.5921828336150825,1.7142857142857142,3,14
47,3.526240407260005,3.4651265393891486,-0.061113867870856264,-1.7331168840624676,2.642857142857143,5,14
48,2.772013895598288,2.723951240762571,-0.048062654835717034,-1.7338533155276121,1.5,5,14
49,3.174093885851339,3.1254420165939965,-0.04865186925734255,-1.5327797792689866,2.0,1,14
50,3.3652163988462123,3.2769378048847924,-0.0882785939614199,-2.623266485676429,1.7857142857142858,2,14
51,3.584831149074388,3.466889395968863,-0.11794175310552468,-3.290022547811702,3.857142857142857,5,14
52,4.018228763448465,3.8515275501540858,-0.16670121329437926,-4.148624259792402,2.7142857142857144,5,14
53,3.2777182408518613,3.224943761538482,-0.052774479313379086,-1.6100981059208825,2.7857142857142856,4,14
54,3.5071932550934504,3.424779371769028,-0.08241388332442234,-2.349852925975315,3.9285714285714284,5,14
55,3.177407263424869,3.111888666734686,-0.065518596690183,-2.06201444317093,3.4285714285714284,4,14
56,3.569316895703391,3.460192119926012,-0.10912477577737922,-3.0573014099347553,2.7142857142857144,3,14
57,3.6795406472092207,3.6079726048913314,-0.07156804231788927,-1.945026544880559,2.857142857142857,6,14
58,3.462543534227002,3.3997413841107065,-0.06280215011629542,-1.8137577042858966,3.0714285714285716,6,14
59,3.082062788928618,3.0411708388988923,-0.04089195002972579,-1.326772127310897,4.785714285714286,2,14
60,3.225270842179601,3.180123500081618,-0.04514734209798288,-1.3998000263281092,1.6428571428571428,5,14
61,3.2641985002867813,3.2079753811795775,-0.05622311910720379,-1.7224172825967605,2.5714285714285716,3,14
62,3.4835430352455488,3.421438714639203,-0.06210432060634563,-1.7827918294101974,3.5,4,14
63,3.543977702377907,3.439081450983238,-0.10489625139466874,-2.959845128943288,1.7857142857142858,5,14
64,3.781408999204321,3.6597529715871078,-0.12165602761721317,-3.2172142088520936,1.9285714285714286,5,14
65,2.902107625061197,2.846598668269286,-0.055508956791911146,-1.9127118619779178,2.2857142857142856,5,14
66,4.000769439438621,3.8400419830604626,-0.160727456378158,-4.017413620333766,2.5714285714285716,5,14
67,3.6938400641918947,3.6253465316240696,-0.06849353256782509,-1.8542636220718314,2.7142857142857144,3,14
68,3.952775824756491,3.872728802586918,-0.08004702216957282,-2.0250837820913885,2.0714285714285716,4,14
69,3.567099446090443,3.5026748031550983,-0.06442464293534478,-1.8060792503543595,2.4285714285714284,4,14
70,3.8672436272433455,3.7355423941110213,-0.13170123313232418,-3.4055582173446792,3.642857142857143,5,14
71,3.6182989234240983,3.5482231406539273,-0.07007578277017101,-1.9367051825518142,2.9285714285714284,2,14
72,4.000877297310271,3.8902102535414356,-0.11066704376883507,-2.7660694279035964,3.7142857142857144,3,14
73,3.859784986776733,3.7731517226296214,-0.0866332641471117,-2.2445101072704636,2.7857142857142856,5,14
74,3.304758715590597,3.2494471789913066,-0.055311536599290445,-1.6736936448144188,2.142857142857143,3,14
75,3.089236934353359,3.022396751284995,-0.06684018306836403,-2.163647026392783,3.0,5,14
76,3.510994323945711,3.447401012666596,-0.06359331127911494,-1.8112621500238648,2.4285714285714284,6,14
77,3.900932290477253,3.8036035679062765,-0.09732872257097647,-2.4950118413634126,2.9285714285714284,5,14
78,3.4794662151767466,3.413704934477197,-0.06576128069954956,-1.8899818717225019,2.142857142857143,4,14
79,3.5159552043307056,3.4499424170119664,-0.06601278731873927,-1.8775207157767364,2.2142857142857144,4,14
80,3.531754562009139,3.472467860101165,-0.05928670190797414,-1.6786755950064438,3.642857142857143,4,14
81,3.133352493237546,3.0586532146441487,-0.07469927859339709,-2.3840049517127206,2.2142857142857144,5,14
82,4.011165463453469,3.914125900651939,-0.09703956280152948,-2.4192360969816966,2.857142857142857,4,14
83,3.9606263897582665,3.8386718904528,-0.12195449930546642,-3.079172012306614,2.0,3,14
84,3.255617394075737,3.198242045977332,-0.05737534809840472,-1.7623492306808204,3.2857142857142856,4,14
85,3.659242152114203,3.585382679615708,-0.07385947249849512,-2.018436316268965,1.8571428571428572,5,14
86,3.562626477271537,3.4947542203184994,-0.06787225695303745,-1.905118523820603,3.2142857142857144,3,14
87,3.0909371956725784,3.0410924392656864,-0.04984475640689201,-1.6126098089820924,3.0,7,14
88,3.7378153386629815,3.656241000251369,-0.08157433841161232,-2.1824068612440204,2.5,5,14
