sonnet,semantic_only_tortuosity,enhanced_prosody_tortuosity,difference,percent_change,avg_metrical_deviation,rhyme_approach_mean_angle,num_rhyme_words,words_analyzed
53,55.61107507313557,47.29537223706751,-8.315702836068056,-14.953321483412898,2.7857142857142856,2.0040773607853124,13,106
54,54.78986262471641,46.49487983755146,-8.294982787164955,-15.139630562648975,3.9285714285714284,2.0052789895558045,12,110
55,53.67207595770266,48.347788311634034,-5.324287646068626,-9.920032998657508,3.4285714285714284,2.0909692208521977,10,101
56,59.900247010175654,53.3841419673365,-6.516105042839158,-10.878260721916929,2.7142857142857144,2.0712681799122463,9,106
57,60.743776206863565,50.83254947447704,-9.911226732386524,-16.31644812241132,2.857142857142857,2.0695183042730814,13,116
58,77.89912207225325,60.26820681650197,-17.630915255751276,-22.633008930958415,3.0714285714285716,2.0136207949192144,11,109
59,52.41508797296824,45.363316373883336,-7.051771599084901,-13.453705548909268,4.785714285714286,2.0563824377541873,12,106
60,56.54757765906862,47.848432741898726,-8.699144917169896,-15.383762271158579,1.6428571428571428,2.0572827892951744,10,104
61,62.930784915982834,53.81708269331527,-9.113702222667563,-14.482104799479329,2.5714285714285716,2.017998782199368,13,120
62,43.58771811953216,38.915768716831444,-4.671949402700719,-10.718499623881812,3.5,2.053547097530858,9,102
63,41.4074652713173,37.06576939412973,-4.341695877187568,-10.485297394417028,1.7857142857142858,1.9843884512458057,8,99
64,58.51937728814002,49.228995679879894,-9.290381608260127,-15.875735591846404,1.9285714285714286,1.9935345562555833,11,107
65,53.60544829150964,46.41753564847217,-7.187912643037471,-13.408921802032456,2.2857142857142856,2.0245943756016014,11,108
66,35.24358470166638,30.70656026517573,-4.537024436490647,-12.87333418236576,2.5714285714285716,2.096580056410319,7,82
67,52.33882278318177,45.19704536920493,-7.14177741397684,-13.645277127386468,2.7142857142857144,2.0099294070462768,13,105
68,52.248466020829156,45.37177239642699,-6.876693624402165,-13.161522525198599,2.0714285714285716,2.0416070735264573,12,106
69,59.14682287183192,51.4300431404688,-7.7167797313631254,-13.04682036444288,2.4285714285714284,2.096036995846189,12,121
70,49.124679693438715,44.695687465581955,-4.42899222785676,-9.015819045530211,3.642857142857143,2.0023749958627675,5,100
71,66.26901544482108,56.131340782346186,-10.137674662474893,-15.297759585572887,2.9285714285714284,2.0017122184477008,14,123
72,54.091333583063275,47.682097332705204,-6.40923625035807,-11.848915206566266,3.7142857142857144,2.1088931260958232,14,119
73,69.58827768760517,56.45878334329289,-13.129494344312278,-18.867393734406015,2.7857142857142856,1.9712664590020632,6,112
74,71.31265548907635,57.318744105755094,-13.993911383321255,-19.623321116495006,2.142857142857143,1.9754405829485926,12,111
75,67.47610127752382,55.91250307281177,-11.563598204712058,-17.137324157410784,3.0,2.0733025751265957,11,114
76,58.72450320592533,50.20295101767238,-8.521552188252947,-14.511067310984282,2.4285714285714284,2.103942859546954,13,113
77,43.98150302076291,39.37843195641969,-4.603071064343219,-10.465924873395501,2.9285714285714284,2.0921079369049855,10,103
78,58.336422530350646,48.36817912258985,-9.968243407760795,-17.087512355723604,2.142857142857143,2.0618788392619423,12,108
