sonnet,semantic_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,avg_metrical_deviation,num_rhyme_pairs,num_lines
56,3.4418969358567377,3.3439427898605225,-0.09795414599621521,-2.845934896415863,2.7142857142857144,3,14
57,3.9564984736102358,3.8666341670832893,-0.08986430652694644,-2.2713090154423043,2.857142857142857,6,14
58,3.6184023117735165,3.5458565375312303,-0.07254577424228614,-2.004911781264276,3.0714285714285716,6,14
59,3.044694616553453,3.005697608548997,-0.038997008004455935,-1.2808183714858057,4.785714285714286,2,14
60,3.253769445109444,3.209109328530228,-0.04466011657921598,-1.3725654915821421,1.6428571428571428,5,14
61,3.1631099223967167,3.112295225085158,-0.05081469731155863,-1.6064790209078754,2.5714285714285716,3,14
62,3.57540770164899,3.5099107375912166,-0.06549696405777317,-1.8318739993642055,3.5,4,14
63,3.430437493463947,3.334588668514296,-0.09584882494965097,-2.7940700022161273,1.7857142857142858,5,14
64,3.1714766956929066,3.0988547356825458,-0.07262196001036081,-2.2898468750846144,1.9285714285714286,5,14
65,3.1813173146491565,3.10836561332309,-0.07295170132606632,-2.2931287297291063,2.2857142857142856,5,14
66,3.955599845432226,3.8017278733446647,-0.1538719720875612,-3.8899782106434913,2.5714285714285716,5,14
67,3.559414256629004,3.498633632301642,-0.06078062432736209,-1.7076018677557716,2.7142857142857144,3,14
68,4.341682549461291,4.2344908961490955,-0.10719165331219571,-2.4688966107274672,2.0714285714285716,4,14
69,3.2804145673775382,3.228778107420392,-0.051636459957146386,-1.574083363445923,2.4285714285714284,4,14
70,4.179325472684787,4.016837852519906,-0.16248762016488083,-3.887891029948889,3.642857142857143,5,14
71,3.7780005929948657,3.697984521548933,-0.08001607144593281,-2.1179475618478696,2.9285714285714284,2,14
72,3.7421788231406308,3.6487484310166947,-0.09343039212393611,-2.496684325884899,3.7142857142857144,3,14
73,3.928636264603353,3.8366202249035513,-0.09201603969980177,-2.342187810280573,2.7857142857142856,5,14
74,3.1435223447193867,3.097441545285,-0.04608079943438659,-1.4658969901007683,2.142857142857143,3,14
75,4.128175339500967,3.977065794928642,-0.1511095445723245,-3.660443952717167,3.0,5,14
76,3.8395786804025565,3.7547138598180116,-0.08486482058454481,-2.2102638765471854,2.4285714285714284,6,14
77,4.220671839010442,4.099034152414963,-0.12163768659547891,-2.8819508181426747,2.9285714285714284,5,14
78,3.6016008769895316,3.52702140234064,-0.0745794746488917,-2.0707312441358137,2.142857142857143,4,14
79,3.5056859315110254,3.440863725609334,-0.06482220590169119,-1.8490591333077986,2.2142857142857144,4,14
80,3.526878538285329,3.4680622546042765,-0.05881628368105263,-1.6676583285356767,3.642857142857143,4,14
81,3.375226089797174,3.2845137322847684,-0.0907123575124058,-2.6875935151904726,2.2142857142857144,5,14
82,3.9985295507016447,3.9001532179739815,-0.09837633272766322,-2.46031275948431,2.857142857142857,4,14
83,3.6716659787143064,3.576884507591206,-0.09478147112310031,-2.581429565558945,2.0,3,14
84,3.690170186250612,3.6063323432837833,-0.08383784296682872,-2.271923481448208,3.2857142857142856,4,14
85,3.9469780950665436,3.853696736676953,-0.09328135838959062,-2.363361441153829,1.8571428571428572,5,14
86,3.8736648833470206,3.7872988557989316,-0.08636602754808909,-2.229568900484364,3.2142857142857144,3,14
87,3.4703325446924946,3.40240383987179,-0.06792870482070468,-1.9574119755351522,3.0,7,14
88,3.8287227387012255,3.736416937172313,-0.09230580152891266,-2.410877146988829,2.5,5,14
89,4.02223857473289,3.877290453418893,-0.14494812131399737,-3.6036679232440387,2.142857142857143,5,14
90,4.085846339974078,3.9822396612517648,-0.10360667872231355,-2.535745843123676,2.357142857142857,2,14
91,3.0392542521618853,2.993715181020435,-0.04553907114145028,-1.4983633274201191,2.0714285714285716,4,14
92,3.8148793338730442,3.7303198605444896,-0.08455947332855462,-2.2165700649489715,2.4285714285714284,4,14
93,3.6305137233236744,3.5734441825885956,-0.05706954073507875,-1.5719411930175144,2.2142857142857144,3,14
94,3.3644898492131055,3.3194588798855493,-0.045030969327556125,-1.3384189385528409,2.642857142857143,4,14
95,3.510870947182553,3.4170920934677453,-0.09377885371480765,-2.671099425914942,2.7857142857142856,3,14
96,3.8564847807531626,3.768212838353408,-0.08827194239975444,-2.2889223585245198,2.2857142857142856,6,14
97,3.5057942905041095,3.3982034946830635,-0.10759079582104603,-3.0689420686339015,2.5,3,14
98,3.7953722125142906,3.681308150596671,-0.11406406191761942,-3.005345866777485,2.2857142857142856,3,14
99,3.7760962735987285,3.6743147207875304,-0.10178155281119805,-2.6954173155706465,3.4,3,15
100,4.214289676705956,4.095479186721253,-0.11881048998470334,-2.81922931499977,3.2142857142857144,6,14
101,3.328234999423019,3.2435084090540354,-0.08472659036898378,-2.5456913464245146,2.5714285714285716,1,14
102,3.756336772941865,3.6426176841021136,-0.11371908883975124,-3.0273933279600334,1.2142857142857142,4,14
103,2.6191703782026114,2.5706792950903723,-0.04849108311223915,-1.8513909410320928,1.9285714285714286,6,14
104,3.887660666523855,3.758642844844043,-0.1290178216798119,-3.318649253284057,2.7857142857142856,5,14
105,3.2758296146170167,3.1908752047410833,-0.08495440987593339,-2.5933708364091936,2.9285714285714284,4,14
106,3.0807027620741256,3.0150611003591914,-0.06564166171493424,-2.130736613834828,1.9285714285714286,3,14
107,3.465449101090691,3.3601859008666546,-0.10526320022403635,-3.037505303162772,3.142857142857143,5,14
108,3.8358846587953153,3.714660112017074,-0.12122454677824113,-3.1602761177994467,2.642857142857143,5,14
109,3.591841916913911,3.5128016357921523,-0.07904028112175876,-2.2005501063273325,2.5714285714285716,6,14
110,3.1303553197483085,3.07280702400754,-0.057548295740768474,-1.8383950019257098,3.7142857142857144,3,14
111,3.7916759102597277,3.6650975274617306,-0.12657838279799716,-3.338322836492811,3.9285714285714284,5,14
112,3.623281012267149,3.515551080017975,-0.10772993224917427,-2.9732701351189372,2.357142857142857,4,14
113,3.7437725215678577,3.610444174856726,-0.13332834671113147,-3.561336751713076,3.0714285714285716,6,14
