sonnet,overall_tortuosity_eebo,mean_line_tortuosity_eebo,max_line_tortuosity,couplet_tortuosity_eebo,num_lines,overall_tortuosity_poetry,mean_line_tortuosity_poetry,couplet_tortuosity_poetry,abs_diff
21,3.5593668870544413,6.919854,8.033962,6.5916142,14,3.7801617968868095,6.779759,6.4742246,0.22079490983236827
22,3.4019392059610767,7.297852,8.408345,5.6736135,14,3.5392936641506663,6.6323543,5.6933503,0.13735445818958958
23,3.1786797341789303,7.239344,8.393997,5.95749,14,3.2267537387839926,6.898328,6.8163977,0.04807400460506228
24,3.7151983720981527,6.760565,7.5596414,5.7381973,14,3.35034796816369,6.3814597,5.686516,0.3648504039344629
25,2.973444325047207,6.724911,8.090744,6.1398535,14,3.4789414802960064,6.80877,5.656712,0.5054971552487992
26,3.43065923093208,7.2638974,8.5216675,6.9327645,14,3.652195348313079,6.588905,6.3140717,0.2215361173809991
27,3.3100192745581145,7.4788623,8.21628,6.6749406,14,3.6827269630476227,6.809692,5.95386,0.3727076884895082
28,2.933511572156032,6.6910152,8.83252,4.8765984,14,3.269172466525201,6.2742453,4.9211345,0.3356608943691688
29,3.766988023566852,7.3427176,8.510626,6.6753297,14,3.8439318082649487,6.7085195,7.0272713,0.0769437846980967
30,3.4717013714166263,6.950918,7.7862606,7.4289474,14,3.3732620324218203,6.720093,7.3493,0.09843933899480595
31,3.139270876788118,7.322477,9.387251,6.722051,14,3.6971014162558524,6.8147783,6.430845,0.5578305394677345
32,3.0093978098528043,7.6402264,8.94333,6.3307257,14,3.410977441812875,7.013358,6.8038497,0.40157963196007085
33,3.186915943094644,7.459077,8.740435,7.1301174,14,3.2323606411371113,7.0358524,6.891782,0.0454446980424672
34,3.0922900355564344,7.1380253,8.029352,6.640873,14,3.3211743247848946,6.775626,6.9608297,0.22888428922846016
35,3.2321816867226096,7.492263,9.517288,9.005002,14,3.591911122976042,6.83464,8.063017,0.35972943625343223
36,3.1792964226632683,7.3242254,9.487613,7.107219,14,3.2328339755326723,6.6667204,6.615339,0.05353755286940398
37,3.0440213722660965,7.33027,9.111858,6.4854255,14,3.1494187611906126,6.847266,6.3461366,0.10539738892451611
38,3.1711973303772476,7.4159613,9.07419,7.692348,14,3.702255005738287,7.224465,7.5321655,0.5310576753610392
39,3.2948187584576254,7.4203415,8.616411,7.3621106,14,3.569260729797563,6.8175945,6.5158596,0.27444197133993775
40,3.295563136922131,6.6987805,8.756769,7.428964,14,3.537589526771345,6.4875216,7.0859275,0.24202638984921387
41,2.738301512612235,7.195246,9.089399,5.454353,14,3.3460139497535155,6.736051,4.614468,0.6077124371412803
42,3.453334342546995,7.093026,8.258958,6.824557,14,4.15261433860669,6.923034,6.6535964,0.6992799960596949
43,3.9310756626497865,6.669431,7.5383353,5.020968,14,3.9371004785901205,6.348243,5.085782,0.006024815940333994
44,3.5793565063096056,7.49936,8.703472,7.1419168,14,3.5487653364935,7.1546583,7.593657,0.030591169816105435
45,3.1214995351013837,7.6726413,8.93032,6.7366242,14,3.315820237033309,7.0272717,6.4610567,0.1943207019319253
46,3.470242300359952,7.3722873,9.026567,5.2420588,14,4.57289051036397,6.8788457,5.2227383,1.102648210004018
47,3.526240407260005,6.603711,8.1595125,6.8745055,14,4.176550442072958,6.3932095,7.2519245,0.6503100348129527
